geoid,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded
06037910721,06,037,910721,Census Tract 9107.21; Los Angeles County; California,3905,1260,254,215,6.5,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,46136.0,28697.0,0.6220088434194555,False
06037910804,06,037,910804,Census Tract 9108.04; Los Angeles County; California,2971,340,119,111,4.01,29,46,0,14,29,48.08326112068523,0.0,77.08326112068522,1.6580434869201803,high_uncertainty,0.98,24.37,155625.0,17002.0,0.10924979919678715,False
06037910807,06,037,910807,Census Tract 9108.07; Los Angeles County; California,5928,764,846,576,14.27,360,529,0,19,360,529.3410998590606,0.0,889.3410998590606,1.470391944052946,high_uncertainty,6.07,42.55,121010.0,14095.0,0.116477977026692,False
06037910808,06,037,910808,Census Tract 9108.08; Los Angeles County; California,4011,887,72,55,1.8,16,28,6,13,22,30.870698080866262,0.0,52.87069808086626,1.4032135491302846,high_uncertainty,0.55,30.56,120625.0,22911.0,0.1899357512953368,False
06037910809,06,037,910809,Census Tract 9108.09; Los Angeles County; California,2231,343,192,141,8.61,46,63,0,14,46,64.53681120105021,0.0,110.53681120105021,1.40297415654457,high_uncertainty,2.06,23.96,153088.0,31805.0,0.2077563231605351,False
06037910810,06,037,910810,Census Tract 9108.10; Los Angeles County; California,2914,618,291,191,9.99,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,152778.0,28532.0,0.18675463744780008,False
06037910814,06,037,910814,Census Tract 9108.14; Los Angeles County; California,3457,722,35,33,1.01,26,30,0,14,26,33.1058907144937,0.0,59.1058907144937,1.2733034890189883,high_uncertainty,0.75,74.29,134250.0,25556.0,0.1903612662942272,False
06037910815,06,037,910815,Census Tract 9108.15; Los Angeles County; California,5176,652,73,93,1.41,10,15,0,19,10,24.20743687382041,0.0,34.20743687382041,2.420743687382041,high_uncertainty,0.19,13.7,95435.0,12470.0,0.13066485042175302,False
06037911001,06,037,911001,Census Tract 9110.01; Los Angeles County; California,3205,657,0,14,0.0,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,,77381.0,16375.0,0.21161525439061268,False
06037911100,06,037,911100,Census Tract 9111; Los Angeles County; California,7146,942,79,97,1.11,15,25,0,19,15,31.400636936215164,0.0,46.400636936215164,2.0933757957476775,high_uncertainty,0.21,18.99,68038.0,17270.0,0.25382874276139805,False
