STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded,competitors_within_1_mile,competitors_within_3_miles,expanded_competitors_within_1_mile,expanded_competitors_within_3_miles,additional_competitors_within_1_mile,additional_competitors_within_3_miles,chinese_population_rank,chinese_share_rank,income_rank,demand_component,baseline_competition_component,expanded_competition_component,baseline_score,expanded_score,baseline_rank,expanded_rank,rank_change,in_baseline_top_20,in_expanded_top_20,competition_robustness
06,037,208501,06037208501,1400000US06037208501,2085.01,Census Tract 2085.01,G5020,S,243219,0,+34.0695316,-118.2719463,06,037,208501,Census Tract 2085.01; Los Angeles County; California,2605,442,1058,308,40.61,30,34,6,9,36,35.17101079013795,0.8289892098620513,71.17101079013796,0.9769725219482764,usable_with_caution,1.38,3.4,89539.0,18103.0,0.2021800556182222,False,5,44,5,64,0,20,0.020228215767634856,0.07261410788381743,0.34024896265560167,0.04118257261410789,0.07811203319502077,0.1335062240663901,10.84,11.95,956,952,-4,False,False,outside_top_20
06,037,185203,06037185203,1400000US06037185203,1852.03,Census Tract 1852.03,G5020,S,548105,0,+34.1001268,-118.2316876,06,037,185203,Census Tract 1852.03; Los Angeles County; California,2365,288,240,110,10.15,104,66,6,9,110,66.61080993352356,43.389190066476445,176.61080993352357,0.6055528175774869,usable_with_caution,4.65,45.83,88667.0,21846.0,0.2463825323964947,False,0,11,0,16,0,5,0.2899377593360996,0.44813278008298757,0.32676348547717843,0.35321576763485485,0.6514522821576764,0.687551867219917,40.76,41.48,659,659,0,False,False,outside_top_20
06,037,433200,06037433200,1400000US06037433200,4332,Census Tract 4332,G5020,S,1787366,0,+34.0678171,-118.0368622,06,037,433200,Census Tract 4332; Los Angeles County; California,5915,745,1782,460,30.13,902,310,0,19,902,310.5817122755298,591.4182877244702,1212.5817122755298,0.3443256233653324,more_reliable,15.25,50.62,58963.0,14578.0,0.2472397944473653,False,5,20,6,36,1,16,0.8552904564315352,0.7946058091286307,0.07780082987551867,0.8310165975103734,0.16991701244813281,0.18661825726141074,54.82,55.15,415,411,-4,False,False,outside_top_20
06,037,433302,06037433302,1400000US06037433302,4333.02,Census Tract 4333.02,G5020,S,854241,0,+34.0630031,-118.0143880,06,037,433302,Census Tract 4333.02; Los Angeles County; California,1713,436,558,399,32.57,527,400,0,14,527,400.2449250146715,126.75507498532852,927.2449250146716,0.7594780360809705,usable_with_caution,30.76,94.44,59375.0,5729.0,0.0964884210526315,False,3,13,4,21,1,8,0.7624481327800829,0.8952282157676349,0.07987551867219916,0.8155601659751037,0.34885892116182576,0.36473029045643157,57.51,57.83,356,350,-6,False,False,outside_top_20
06,037,433403,06037433403,1400000US06037433403,4334.03,Census Tract 4334.03,G5020,S,706777,0,+34.0627564,-118.0270375,06,037,433403,Census Tract 4334.03; Los Angeles County; California,4706,666,814,344,17.3,322,215,0,14,322,215.4553317975677,106.54466820243226,537.4553317975677,0.6691159372595271,usable_with_caution,6.84,39.56,51593.0,15889.0,0.3079681352121411,False,4,13,5,23,1,10,0.6483402489626556,0.5938796680497925,0.052904564315352696,0.6265560165975104,0.3189834024896266,0.3090248962655602,45.03,44.83,598,612,14,False,False,outside_top_20
06,037,185204,06037185204,1400000US06037185204,1852.04,Census Tract 1852.04,G5020,S,963641,0,+34.1029045,-118.2232595,06,037,185204,Census Tract 1852.04; Los Angeles County; California,1800,216,385,94,21.39,121,112,13,20,134,113.77170122662314,20.228298773376864,247.77170122662312,0.8490425464673368,usable_with_caution,7.44,34.81,128523.0,52486.0,0.4083782669249862,False,0,10,0,16,0,6,0.3573651452282158,0.6265560165975104,0.7396265560165975,0.4650414937759336,0.6810165975103735,0.687551867219917,56.32,56.45,378,379,1,False,False,outside_top_20
06,037,211121,06037211121,1400000US06037211121,2111.21,Census Tract 2111.21,G5020,S,213925,0,+34.0730100,-118.2854106,06,037,211121,Census Tract 2111.21; Los Angeles County; California,2531,517,870,411,34.37,60,48,0,14,60,50.0,10.0,110.0,0.8333333333333334,usable_with_caution,2.37,6.9,73095.0,24102.0,0.329735276010671,False,5,44,8,66,3,22,0.10995850622406639,0.19865145228215766,0.1545643153526971,0.1454356846473029,0.07811203319502077,0.08910788381742737,13.38,13.6,943,945,2,False,False,outside_top_20
06,037,462700,06037462700,1400000US06037462700,4627,Census Tract 4627,G5020,S,1675551,0,+34.1519263,-118.1144873,06,037,462700,Census Tract 4627; Los Angeles County; California,5825,556,1209,481,20.76,290,158,114,142,404,212.4335190124195,191.5664809875805,616.4335190124195,0.5258255421099493,usable_with_caution,6.94,33.42,72750.0,18581.0,0.2554089347079037,False,0,1,0,4,0,3,0.7105809128630706,0.6011410788381742,0.1524896265560166,0.666804979253112,0.9122406639004149,0.8935684647302904,61.3,60.93,279,283,4,False,False,outside_top_20
06,037,462800,06037462800,1400000US06037462800,4628,Census Tract 4628,G5020,S,1126292,1079,+34.1522194,-118.1012717,06,037,462800,Census Tract 4628; Los Angeles County; California,2882,464,496,148,17.21,233,141,0,14,233,141.69333082400175,91.30666917599824,374.69333082400175,0.6081258833648143,usable_with_caution,8.08,46.98,119375.0,32968.0,0.2761717277486911,False,0,1,0,3,0,2,0.5306016597510373,0.6483402489626556,0.6550829875518672,0.5776970954356846,0.9122406639004149,0.9060165975103736,66.01,65.88,187,188,1,False,False,outside_top_20
06,037,463000,06037463000,1400000US06037463000,4630,Census Tract 4630,G5020,S,1816831,0,+34.1551566,-118.0752072,06,037,463000,Census Tract 4630; Los Angeles County; California,2631,391,701,211,26.64,246,132,28,34,274,136.3084736911099,137.6915263088901,410.3084736911099,0.4974761813544157,more_reliable,10.41,39.09,125598.0,24999.0,0.199039793627287,False,1,8,1,19,0,11,0.5954356846473029,0.7116182572614108,0.7126556016597511,0.6419087136929461,0.6321576763485477,0.549792531120332,65.41,63.76,196,225,29,False,False,outside_top_20
