STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded,competitors_within_1_mile,competitors_within_3_miles
06,037,137104,06037137104,1400000US06037137104,1371.04,Census Tract 1371.04,G5020,S,2564757,0,+34.1737636,-118.5849481,06,037,137104,Census Tract 1371.04; Los Angeles County; California,2350,328,110,115,4.68,37,38,0,14,37,40.49691346263317,0.0,77.49691346263317,1.0945111746657614,high_uncertainty,1.57,33.64,106599.0,15298.0,0.1435097890224111,False,3,12
06,037,139001,06037139001,1400000US06037139001,1390.01,Census Tract 1390.01,G5020,S,1239789,0,+34.1754113,-118.5117181,06,037,139001,Census Tract 1390.01; Los Angeles County; California,5592,674,356,186,6.37,83,91,0,19,83,92.9623579735368,0.0,175.9623579735368,1.1200284093197204,high_uncertainty,1.48,23.31,127755.0,35059.0,0.2744237016163751,False,0,6
06,037,139402,06037139402,1400000US06037139402,1394.02,Census Tract 1394.02,G5020,S,2443891,0,+34.1677649,-118.5517782,06,037,139402,Census Tract 1394.02; Los Angeles County; California,2749,400,182,101,6.62,9,14,0,14,9,19.79898987322333,0.0,28.79898987322333,2.199887763691481,high_uncertainty,0.33,4.95,198043.0,83734.0,0.4228071681402524,False,2,8
06,037,480303,06037480303,1400000US06037480303,4803.03,Census Tract 4803.03,G5020,S,451631,0,+34.0951421,-118.1377177,06,037,480303,Census Tract 4803.03; Los Angeles County; California,4326,468,2207,450,51.02,1321,443,91,77,1412,449.6420798813208,962.3579201186792,1861.6420798813208,0.3184433993493773,more_reliable,32.64,63.98,96105.0,9318.0,0.0969564538785703,False,6,38
06,037,910210,06037910210,1400000US06037910210,9102.10,Census Tract 9102.10,G5020,S,3169406,0,+34.6173553,-118.1947725,06,037,910210,Census Tract 9102.10; Los Angeles County; California,7176,1217,1263,586,17.6,50,74,0,19,50,76.40026177965623,0.0,126.40026177965623,1.5280052355931246,high_uncertainty,0.7,3.96,131676.0,6276.0,0.0476624441811719,False,0,3
06,037,910712,06037910712,1400000US06037910712,9107.12,Census Tract 9107.12,G5020,S,2061615,9189,+34.5516547,-118.0529587,06,037,910712,Census Tract 9107.12; Los Angeles County; California,3211,632,95,79,2.96,14,14,0,14,14,19.79898987322333,0.0,33.798989873223334,1.4142135623730951,high_uncertainty,0.44,14.74,96324.0,22472.0,0.2332959594701216,False,1,1
06,037,910713,06037910713,1400000US06037910713,9107.13,Census Tract 9107.13,G5020,S,1976093,1602,+34.5723683,-118.0370203,06,037,910713,Census Tract 9107.13; Los Angeles County; California,6801,1236,110,91,1.62,0,19,0,19,0,26.87005768508881,0.0,26.87005768508881,,zero_estimate,0.0,0.0,80764.0,13813.0,0.1710291714130058,False,0,1
06,037,920045,06037920045,1400000US06037920045,9200.45,Census Tract 9200.45,G5020,S,1869924,0,+34.4533926,-118.5168986,06,037,920045,Census Tract 9200.45; Los Angeles County; California,4554,520,276,141,6.06,22,36,0,14,22,38.62641583165593,0.0,60.62641583165593,1.7557461741661788,high_uncertainty,0.48,7.97,149167.0,25238.0,0.1691929180046525,False,0,5
06,037,980001,06037980001,1400000US06037980001,9800.01,Census Tract 9800.01,G5020,S,2315122,0,+34.1997152,-118.3575366,06,037,980001,Census Tract 9800.01; Los Angeles County; California,0,14,0,14,,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,not_applicable,,,,,,False,2,10
06,037,980002,06037980002,1400000US06037980002,9800.02,Census Tract 9800.02,G5020,S,6769284,208610,+33.8104081,-118.2386708,06,037,980002,Census Tract 9800.02; Los Angeles County; California,0,14,0,14,,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,not_applicable,,,,,,False,0,8
06,037,980004,06037980004,1400000US06037980004,9800.04,Census Tract 9800.04,G5020,S,35787632,83850,+34.6384747,-118.0723227,06,037,980004,Census Tract 9800.04; Los Angeles County; California,0,14,0,14,,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,not_applicable,,,,,,False,0,0
06,037,575103,06037575103,1400000US06037575103,5751.03,Census Tract 5751.03,G5020,S,480128,0,+33.7861755,-118.1534880,06,037,575103,Census Tract 5751.03; Los Angeles County; California,4632,601,560,232,12.09,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,59259.0,7219.0,0.1218211579675661,False,0,2
06,037,575202,06037575202,1400000US06037575202,5752.02,Census Tract 5752.02,G5020,S,404093,0,+33.7858671,-118.1704604,06,037,575202,Census Tract 5752.02; Los Angeles County; California,3647,405,864,197,23.69,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,63661.0,21698.0,0.3408366189660859,False,0,2
06,037,601002,06037601002,1400000US06037601002,6010.02,Census Tract 6010.02,G5020,S,633250,0,+33.9565607,-118.3475932,06,037,601002,Census Tract 6010.02; Los Angeles County; California,5222,706,45,51,0.86,0,19,0,19,0,26.87005768508881,0.0,26.87005768508881,,zero_estimate,0.0,0.0,62986.0,23297.0,0.3698758454259677,False,3,13
06,037,603102,06037603102,1400000US06037603102,6031.02,Census Tract 6031.02,G5020,S,745751,0,+33.8771829,-118.2952310,06,037,603102,Census Tract 6031.02; Los Angeles County; California,3420,574,1260,452,36.84,113,92,0,14,113,93.05912099305472,19.940879006945263,206.05912099305476,0.8235320441863251,usable_with_caution,3.3,8.97,68300.0,9812.0,0.1436603221083455,False,2,13
06,037,620521,06037620521,1400000US06037620521,6205.21,Census Tract 6205.21,G5020,S,644213,0,+33.8764820,-118.3656204,06,037,620521,Census Tract 6205.21; Los Angeles County; California,4414,754,1197,303,27.12,277,196,16,24,293,197.46392075515973,95.53607924484028,490.4639207551597,0.6739382960926953,usable_with_caution,6.64,24.48,126071.0,32283.0,0.2560699923059228,False,0,10
06,037,900701,06037900701,1400000US06037900701,9007.01,Census Tract 9007.01,G5020,S,2093985,0,+34.6819687,-118.1408100,06,037,900701,Census Tract 9007.01; Los Angeles County; California,4716,669,136,101,2.88,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,60250.0,10995.0,0.1824896265560166,False,0,5
06,037,910709,06037910709,1400000US06037910709,9107.09,Census Tract 9107.09,G5020,S,14354731,132856,+34.5287425,-118.0414407,06,037,910709,Census Tract 9107.09; Los Angeles County; California,1682,236,42,44,2.5,25,40,0,14,25,42.37924020083418,0.0,67.37924020083418,1.6951696080333674,high_uncertainty,1.49,59.52,102566.0,24880.0,0.2425755123530214,False,0,1
06,037,910810,06037910810,1400000US06037910810,9108.10,Census Tract 9108.10,G5020,S,22136796,0,+34.4552224,-118.3565595,06,037,910810,Census Tract 9108.10; Los Angeles County; California,2914,618,291,191,9.99,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,152778.0,28532.0,0.1867546374478,False,0,0
06,037,920043,06037920043,1400000US06037920043,9200.43,Census Tract 9200.43,G5020,S,18679080,11223,+34.3909961,-118.4411237,06,037,920043,Census Tract 9200.43; Los Angeles County; California,8892,885,2148,316,24.16,21,27,0,19,21,33.015148038438355,0.0,54.01514803843836,1.5721499065923026,high_uncertainty,0.24,0.98,162303.0,24776.0,0.1526527544161229,False,0,1
06,037,920104,06037920104,1400000US06037920104,9201.04,Census Tract 9201.04,G5020,S,158059994,34125,+34.5729040,-118.7432926,06,037,920104,Census Tract 9201.04; Los Angeles County; California,2987,417,277,174,9.27,9,13,0,14,9,19.1049731745428,0.0,28.1049731745428,2.122774797171422,high_uncertainty,0.3,3.25,143269.0,37092.0,0.2588975982243193,False,0,0
06,037,920303,06037920303,1400000US06037920303,9203.03,Census Tract 9203.03,G5020,S,51557490,11077,+34.3160081,-118.6106718,06,037,920303,Census Tract 9203.03; Los Angeles County; California,1704,224,369,115,21.65,16,17,0,14,16,22.02271554554524,0.0,38.02271554554524,1.3764197215965774,high_uncertainty,0.94,4.34,127045.0,38313.0,0.3015703097327719,False,0,0
06,037,433307,06037433307,1400000US06037433307,4333.07,Census Tract 4333.07,G5020,S,421859,0,+34.0684885,-118.0062454,06,037,433307,Census Tract 4333.07; Los Angeles County; California,2909,323,1082,326,37.19,634,293,33,32,667,294.7422602885443,372.2577397114557,961.7422602885442,0.441892444210711,more_reliable,22.93,61.65,82107.0,16774.0,0.2042943963364877,False,1,14
06,037,269907,06037269907,1400000US06037269907,2699.07,Census Tract 2699.07,G5020,S,276794,0,+34.0280469,-118.4067099,06,037,269907,Census Tract 2699.07; Los Angeles County; California,2704,262,613,245,22.67,90,76,0,14,90,77.27871634544663,12.721283654553377,167.27871634544664,0.8586524038382959,usable_with_caution,3.33,14.68,99837.0,9725.0,0.0974087763053777,False,3,17
06,037,120300,06037120300,1400000US06037120300,1203,Census Tract 1203,G5020,S,1718660,0,+34.2152914,-118.4408399,06,037,120300,Census Tract 1203; Los Angeles County; California,5464,761,1487,468,27.21,0,19,0,19,0,26.87005768508881,0.0,26.87005768508881,,zero_estimate,0.0,0.0,59579.0,21851.0,0.3667567431477534,False,1,9
06,037,120400,06037120400,1400000US06037120400,1204,Census Tract 1204,G5020,S,1065823,0,+34.2188821,-118.4323396,06,037,120400,Census Tract 1204; Los Angeles County; California,6168,832,1021,360,16.55,0,19,0,19,0,26.87005768508881,0.0,26.87005768508881,,zero_estimate,0.0,0.0,57181.0,14034.0,0.2454311746908938,False,0,10
06,037,121010,06037121010,1400000US06037121010,1210.10,Census Tract 1210.10,G5020,S,2036700,538,+34.2239130,-118.4039440,06,037,121010,Census Tract 1210.10; Los Angeles County; California,4951,631,309,181,6.24,12,19,0,14,12,23.600847442411894,0.0,35.60084744241189,1.9667372868676576,high_uncertainty,0.24,3.88,81111.0,27848.0,0.343331977167092,False,1,8
06,037,121020,06037121020,1400000US06037121020,1210.20,Census Tract 1210.20,G5020,S,824528,0,+34.2121224,-118.4020620,06,037,121020,Census Tract 1210.20; Los Angeles County; California,3671,566,438,217,11.93,43,51,0,14,43,52.88667128870941,0.0,95.8866712887094,1.229922588109521,high_uncertainty,1.17,9.82,75070.0,16923.0,0.2254295990408951,False,1,11
06,037,293306,06037293306,1400000US06037293306,2933.06,Census Tract 2933.06,G5020,S,613552,1884,+33.7818249,-118.3043625,06,037,293306,Census Tract 2933.06; Los Angeles County; California,2420,366,579,277,23.93,60,50,8,14,68,51.92301994298868,16.07698005701132,119.92301994298867,0.76357382269101,usable_with_caution,2.81,11.74,112361.0,24334.0,0.2165698062494993,False,1,9
06,037,570404,06037570404,1400000US06037570404,5704.04,Census Tract 5704.04,G5020,S,816724,48845,+33.8774960,-118.1959346,06,037,570404,Census Tract 5704.04; Los Angeles County; California,3973,787,290,171,7.3,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,80505.0,8648.0,0.1074218992609154,False,0,6
06,037,571504,06037571504,1400000US06037571504,5715.04,Census Tract 5715.04,G5020,S,1511673,0,+33.8387012,-118.1697990,06,037,571504,Census Tract 5715.04; Los Angeles County; California,5120,925,908,268,17.73,94,82,0,19,94,84.17244204607586,9.827557953924142,178.17244204607584,0.8954515111284665,usable_with_caution,1.84,10.35,89880.0,40137.0,0.4465620827770361,False,1,4
06,037,121210,06037121210,1400000US06037121210,1212.10,Census Tract 1212.10,G5020,S,1997365,29714,+34.2418820,-118.4049441,06,037,121210,Census Tract 1212.10; Los Angeles County; California,3233,534,290,110,8.97,40,40,0,14,40,42.37924020083418,0.0,82.37924020083418,1.0594810050208543,high_uncertainty,1.24,13.79,75875.0,12581.0,0.1658121911037891,False,0,8
06,037,121600,06037121600,1400000US06037121600,1216,Census Tract 1216,G5020,S,1139500,0,+34.2110681,-118.4105906,06,037,121600,Census Tract 1216; Los Angeles County; California,2580,357,787,302,30.5,47,52,0,14,47,53.85164807134504,0.0,100.85164807134504,1.1457797461988306,high_uncertainty,1.82,5.97,116025.0,23678.0,0.2040767076061193,False,0,10
06,037,124000,06037124000,1400000US06037124000,1240,Census Tract 1240,G5020,S,1333419,16656,+34.1617442,-118.4032660,06,037,124000,Census Tract 1240; Los Angeles County; California,4291,602,234,132,5.45,16,30,0,14,16,33.1058907144937,0.0,49.1058907144937,2.069118169655856,high_uncertainty,0.37,6.84,84464.0,22840.0,0.2704110627012692,False,3,12
06,037,124102,06037124102,1400000US06037124102,1241.02,Census Tract 1241.02,G5020,S,649213,0,+34.1757824,-118.3833988,06,037,124102,Census Tract 1241.02; Los Angeles County; California,3715,736,791,676,21.29,0,14,17,23,17,26.92582403567252,0.0,43.92582403567252,1.5838720020983834,high_uncertainty,0.46,2.15,78090.0,15611.0,0.1999103598412088,False,4,12
06,037,124201,06037124201,1400000US06037124201,1242.01,Census Tract 1242.01,G5020,S,972597,0,+34.1848664,-118.3746763,06,037,124201,Census Tract 1242.01; Los Angeles County; California,3560,861,305,249,8.57,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,76587.0,14581.0,0.1903847911525454,False,2,11
06,037,124300,06037124300,1400000US06037124300,1243,Census Tract 1243,G5020,S,890999,0,+34.1757378,-118.3642963,06,037,124300,Census Tract 1243; Los Angeles County; California,3052,405,193,129,6.32,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,84318.0,34991.0,0.4149884959320667,False,1,13
06,037,124400,06037124400,1400000US06037124400,1244,Census Tract 1244,G5020,S,961443,14163,+34.1739658,-118.4114177,06,037,124400,Census Tract 1244; Los Angeles County; California,4397,894,259,150,5.89,58,68,0,14,58,69.42621983083913,0.0,127.42621983083912,1.1970037901868815,high_uncertainty,1.32,22.39,89250.0,25182.0,0.2821512605042017,False,2,14
06,037,124600,06037124600,1400000US06037124600,1246,Census Tract 1246,G5020,S,1120028,0,+34.1620692,-118.4269321,06,037,124600,Census Tract 1246; Los Angeles County; California,2996,441,212,115,7.08,15,20,0,14,15,24.413111231467404,0.0,39.41311123146741,1.6275407487644935,high_uncertainty,0.5,7.08,103750.0,11446.0,0.110322891566265,False,2,13
06,037,482702,06037482702,1400000US06037482702,4827.02,Census Tract 4827.02,G5020,S,718250,0,+34.0414852,-118.1338308,06,037,482702,Census Tract 4827.02; Los Angeles County; California,2669,306,1452,267,54.4,1002,283,43,36,1045,285.2805636562014,759.7194363437986,1330.2805636562014,0.2729957546949296,more_reliable,39.15,71.97,121146.0,16684.0,0.1377181252373169,False,6,31
